epocas;erro
0;0.2546628272454763
500;0.25085466441981025
1000;0.25027083005036177
1500;0.2500790012862044
2000;0.24998332699904566
2500;0.24990788130875027
3000;0.2498123892918797
3500;0.2496365924125848
4000;0.2491961266098596
4500;0.2476447293846793
5000;0.24027336121620352
5500;0.21658978685396962
6000;0.18776954298827644
6500;0.16375882153812654
7000;0.1412696937609877
7500;0.11518345986687155
8000;0.08228105036911008
8500;0.05258285163020894
9000;0.034650807564340226
9500;0.024669551651184608
